ANO,TITULO,SOLUÇÃO,PRESENTE
2022,"""Nosso mundo acabou ali"", lamenta mãe de menina de 13 anos do RJ, que tirou a própria vida há um ano 8 jul 2022",S5,1
2023,Família pede por justiça após adolescente trans ser vítima de bullying na escola e tirar a própria vida 25 jul 2023,S5,1
2013,Novo livro ajuda pais a identificarem transtornos de comportamento nos filhos,S6,1
2016,Precisamos falar sobre suicídio de crianças e adolescentes 26 set 2016,S6,1
2016,"Menina de 11 anos que sobreviveu a câncer no cérebro se mata por sofrer bullying na escola, 2 nov 2016",S6,1
2016,"Mãe defende desejo do filho de usar tutu e pintar as unhas, 24 jun 2016",S6,1
2016,"Colégio Pedro II acaba com distinção de gêneros para uniforme, 29 set 2016",S6,1
2018,"A história por trás do livro de Ana Maria Machado, que gerou a polêmica do engasgo com a maçã (10 set 2018)",S6,1
2018,"Videogame pode ajudar a promover a empatia, revela estudo (16 out 2018)",S6,1
2018,"150 milhões de adolescentes sofrem bullying nas escolas, aponta novo relatório do Unicef (12 set 2018)",S6,1
2019,Menino de 7 anos escreve nota de suicídio e deixa na mesa da professora depois de sofrer bullying (14 Fev 2019),S6,1
2019,"""Eles estão mais felizes do que nunca"", diz pai sobre os dois filhos transgênero (30 jul 2019)Precisamos falar de suicídio infantil"", diz o ator Lázaro Ramos (5 mai 2020)/Precisamos falar sobre suicídio infantil, coluna Lázaro Ramos, ano 27, nº 316, mar 2020, p 88",S6,1
2020,Menino de 9 anos que cogitou suicídio por causa de bullying recebe viagem para Disney de comediante 21 fev 2020/Mãe compartilha vídeo comovente do filho de 9 anos para mostrar os resultados devastadores do bullying   21 fev 2020/Lembra dele? Veja como está menino anão que comoveu a web com vídeo sobre bullying 19 Out 2020,S6,1
2021,Distrito escolar deverá indenizar em US$ 3 milhões família de menino que cometeu suicídio após bullying 7 jun 2021,S6,1
2022,"Estudantes protestam contra as novas políticas para transgêneros nas escolas, nos EUA 28 set 2022",S6,1
2022,Bullying: pais se revoltam após filha ser empurrada de escada na escola e agressores sofrerem ‘punições mínimas’ 14 mar 2022,S6,1
2022,Homem trans fala sobre dar à luz: “uma das coisas mais masculinas que já fiz” 06 jan 2022,S6,1
2023,Família pede por justiça após adolescente trans ser vítima de bullying na escola e tirar a própria vida 25 jul 2023,S6,1
1994,"O que você ainda não sabe sobre violência contra a criança ano 1, nº 4, ago 1994, pág 78-80",S7,1
1995,"Grávidas na Adolescência Difícil Enfrentar essa Barra ano 2, nº 24, nov 1995, p 18-22",S7,1
2016,"O Menino que Ela sempre Quis Ser (impresso)/Menino no corpo de menina: mãe fala sobre filho transgênero (digital), 1 ago 2016",S7,1
2019,"Lázaro Ramos: ""Precisamos olhar para estas feridas""  (29 dez 2019)",S7,1
2021,"Associação Americana de Pediatria declara ""emergência de saúde mental"" para crianças e adolescentes 28 out 2021",S7,1
2022,"Número de visitas de crianças a hospitais por problemas de saúde mental está aumentando rapidamente, diz estudo 28 dez 2022",S7,1
2022,"""Nosso mundo acabou ali"", lamenta mãe de menina de 13 anos do RJ, que tirou a própria vida há um ano 8 jul 2022",S7,1
